CNPJ;Razão Social;Nome Fantasia;Natureza Jurídica;Capital Social;Data de Abertura;Idade da Empresa;Cidade;Estado;CEP;Porte;Atividade Principal;Flag_CNEP;Flag_CEIS
206589030001-71;LACUNA SOFTWARE LTDA;;Sociedade Empresária Limitada;975620;17/07/2014;110;Brasília;DF;707224000;Empresa de Pequeno Porte;Desenvolvimento e licenciamento de programas de computador customizáveis;0;0
207505930001-10;AGENCIA BRASPUB & EMPREENDIMENTOS LTDA;Braspub Empreendimentos;Sociedade Empresária Limitada;6000000;31/07/2014;110;Ouro Preto;MG;354000000;Microempresa;Agências de publicidade;0;0
208594510001-96;TECHWEL COMERCIO LOCACOES & SERVICOS LTDA;Techwel Locacoes & Servicos;Sociedade Empresária Limitada;750000;18/08/2014;110;Uberlândia;MG;384006840;Microempresa;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
215470110001-66;ALLTECH - SOLUCOES EM TECNOLOGIA LTDA;Alltech Solucoes em Tecnologia;Sociedade Empresária Limitada;45000000;03/12/2014;110;Brasília;DF;707110600;Demais;Desenvolvimento e licenciamento de programas de computador não-customizáveis;0;0
216492800001-33;BULL LTDA;;Sociedade Empresária Limitada;9670226744;16/12/1985;400;São Paulo;SP;45789100;Demais;Suporte técnico, manutenção e outros serviços em tecnologia da informação;0;0
217488410001-51;TECNETWORKING SERVICOS E SOLUCOES EM TI LTDA;Tecnet Corporation do Brasil;Sociedade Empresária Limitada;45000000;26/01/2015;100;Abreu e Lima;PE;535200200;Demais;Desenvolvimento e licenciamento de programas de computador customizáveis;0;0
228063410001-91;ACTION IT SERVICOS DE INFORMATICA LTDA;;Sociedade Empresária Limitada;100000;08/07/2015;100;Petrópolis;RJ;256510000;Microempresa;Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet;0;0
232269480001-65;ALLGED SOLUCOES DE TI LTDA.;Allged;Sociedade Empresária Limitada;1000000;25/06/2015;100;Porto Alegre;RS;910602400;Empresa de Pequeno Porte;Aluguel de máquinas e equipamentos para escritórios;0;0
235180650001-29;XP ON CONSULTORIA LTDA;Xp On Consultoria;Sociedade Empresária Limitada;50000000;19/10/2015;100;Brasília;DF;707150100;Demais;Desenvolvimento e licenciamento de programas de computador customizáveis;0;0
236903410001-31;FABRICADS SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA;;Sociedade Empresária Limitada;4000000;18/11/2015;100;Barueri;SP;64540000;Demais;Desenvolvimento de programas de computador sob encomenda;0;0
238806300002-84;WETALK TECNOLOGIA DA INFORMACAO LTDA;;Sociedade Empresária Limitada;1610000;10/08/2021;40;Joinville;SC;892022530;Demais;Comércio varejista especializado de equipamentos de telefonia e comunicação;0;0
244250340001-96;JAMC CONSULTORIA E REPRESENTACAO DE SOFTWARE LTDA;Petacorp;Sociedade Empresária Limitada;10000000;21/03/2016;90;Brasília;DF;702000020;Demais;Desenvolvimento e licenciamento de programas de computador não-customizáveis;0;0
248846900001-57;RAPHAEL SILVA ARAUJO;New Rapha Tech;Empresário (Individual);400000;27/05/2016;90;Aracaju;SE;490204500;Microempresa;Comércio varejista especializado de equipamentos e suprimentos de informática;0;1
254529120001-25;SEEG FIBRAS TELECOMUNICACOES LTDA;Seeg Fibras;Sociedade Empresária Limitada;3750000;04/08/2016;90;Cáceres;MT;782108120;Demais;Serviços de comunicação multimídia - SCM;0;0
260865690001-05;VERY TECNOLOGIA LTDA;Very Tecnologia;Sociedade Empresária Limitada;50000000;01/09/2016;90;Brasília;DF;707119050;Demais;Desenvolvimento e licenciamento de programas de computador não-customizáveis;0;0
264983960001-32;MA3 TECH INFORMATICA LTDA;Ma3 Tech;Sociedade Empresária Limitada;1000000;01/11/2016;90;Curitiba;PR;812401900;Empresa de Pequeno Porte;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
265875090001-76;DOUBLE SOLUCOES E TECNOLOGIA LTDA;Double Tecnologia e Seguranca;Sociedade Empresária Limitada;1200000;23/11/2016;90;Brasília;DF;712000550;Microempresa;Outras atividades de telecomunicações não especificadas anteriormente;0;0
269303580001-07;FL SUPRIMENTOS DE INFORMATICA LTDA;Fl Suprimentos;Sociedade Empresária Limitada;950000;23/01/2017;80;Goiânia;GO;742750700;Microempresa;Comércio atacadista de suprimentos para informática;0;0
271200370001-00;THADS SERVICOS LTDA;;Sociedade Empresária Limitada;937000;15/02/2017;80;Andradina;SP;169010010;Empresa de Pequeno Porte;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
274658980001-20;J. E. M. ARCHILLA LTDA;Star Baby;Sociedade Empresária Limitada;500000;05/04/2017;80;Apucarana;PR;868000120;Empresa de Pequeno Porte;Comércio varejista de artigos do vestuário e acessórios;0;0
275393320001-03;TIMBERLAKE ANALYTICS SOFTWARE LTDA;;Sociedade Empresária Limitada;100000;17/04/2017;80;São Paulo;SP;45470030;Empresa de Pequeno Porte;Suporte técnico, manutenção e outros serviços em tecnologia da informação;0;0
294223740001-87;FACILID COMERCIO E SERVICOS LTDA;Facilid;Sociedade Empresária Limitada;1100000;12/01/2018;70;São Luís;MA;650741990;Empresa de Pequeno Porte;Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;0;0
303419950001-15;INTERPOP TELECOMUNICACOES LTDA;Interpop;Sociedade Empresária Limitada;1000000;02/05/2018;70;Manga;MG;394600000;Microempresa;Serviços de comunicação multimídia - SCM;0;0
308145180001-20;MANHUACU CONSTRUCAO, TERCEIRIZACAO E COMERCIALIZACAO DE MATERIAIS LTDA;Manhuacu Construcoes Eireli;Sociedade Empresária Limitada;990000;29/06/2018;70;Belo Horizonte;MG;308206420;Microempresa;Construção de edifícios;0;1
308703550001-00;M2Z SOLUCOES INTEGRADAS LTDA;M2z Solucoes Inteligentes em Ti;Sociedade Empresária Limitada;20000;06/07/2018;70;Rio de Janeiro;RJ;210410400;Microempresa;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
312163700001-94;FATOR X TECNOLOGIA DIGITAL LTDA;Bigu Azul Ecommerce;Sociedade Empresária Limitada;8000000;14/08/2018;70;Serra;ES;291614140;Demais;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
318107640001-76;IP SERVICOS E LOCACOES LTDA;Zaploc;Sociedade Empresária Limitada;11000000;19/10/2018;70;Brasília;DF;716803700;Empresa de Pequeno Porte;Aluguel de máquinas e equipamentos para escritórios;0;0
318620020001-13;GLOBAL SEC. TECNOLOGIA & INFORMACAO LTDA;Global Sec Tecnologia & Informacao;Sociedade Empresária Limitada;10000000;25/10/2018;70;Brasília;DF;707140200;Demais;Suporte técnico, manutenção e outros serviços em tecnologia da informação;0;0
322401540001-47;CEL CERTIFICADORA DIGITAL LTDA;Cel . a Certificadora Digital;Sociedade Empresária Limitada;3000000;12/12/2018;70;São Paulo;SP;28020300;Microempresa;Outras atividades de prestação de serviços de informação não especificadas anteriormente;0;0
334028920001-06;ASSOCIACAO BRASILEIRA DE NORMAS TECNICAS ABNT;;Associação Privada;;14/09/1971;540;Rio de Janeiro;RJ;200319010;Demais;Atividades associativas não especificadas anteriormente;0;0
349419300001-61;DIGIMAQ INFORMATICA LTDA;Digimaq Copiadoras, Sistemas de Impressao e Servicos;Sociedade Empresária Limitada;2000000;03/06/1992;330;Macapá;AP;689000730;Empresa de Pequeno Porte;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
354730140001-07;TELEFONICA CLOUD E TECNOLOGIA DO BRASIL S.A.;;Sociedade Anônima Aberta;1040001000;11/11/2019;60;Santana de Parnaíba;SP;65430010;Demais;Consultoria em tecnologia da informação;0;0
356889830001-85;CAMPANULA TECNOLOGIA LTDA;Campanula Tecnologia;Sociedade Empresária Limitada;1500000;03/12/2019;60;Brasília;DF;712501050;Empresa de Pequeno Porte;Construção de edifícios;0;1
371319270001-70;NORTHWARE COMERCIO E SERVICOS LTDA;Northware;Sociedade Empresária Limitada;7000000;27/08/1992;330;Brasília;DF;707119050;Demais;Comércio atacadista de equipamentos de informática;0;0
371319270002-51;NORTHWARE COMERCIO E SERVICOS LTDA;Northware;Sociedade Empresária Limitada;7000000;07/05/2020;50;Serra;ES;291641400;Demais;Comércio atacadista de equipamentos de informática;0;0
371655290001-75;PANACOPY COMERCIO DE EQUIPAMENTOS REPROGRAFICOS LTDA;Panacopy;Sociedade Empresária Limitada;22000000;21/12/1992;330;Brasília;DF;707325300;Demais;Comércio varejista especializado de equipamentos e suprimentos de informática;0;0
380644200001-04;CYBER LABS TECNOLOGIA LTDA;Cyber Labs Tecnologia;Sociedade Empresária Limitada;3000000;12/08/2020;50;Brasília;DF;707010000;Demais;Suporte técnico, manutenção e outros serviços em tecnologia da informação;0;0
